AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,609577,NBNSYS0100046453,57
ANGLIAN - CENTRAL,609577,NBNSYS0100046492,1
ANGLIAN - CENTRAL,609577,NBNSYS0100046691,1
ANGLIAN - CENTRAL,609577,NBNSYS0100046702,1
ANGLIAN - CENTRAL,609577,NBNSYS0100046704,2
ANGLIAN - CENTRAL,609577,NBNSYS0100046727,2
ANGLIAN - CENTRAL,609577,NBNSYS0100046734,1
ANGLIAN - CENTRAL,609577,NBNSYS0100046752,2
ANGLIAN - CENTRAL,609577,NBNSYS0100046916,1
ANGLIAN - CENTRAL,609577,NBNSYS0100049211,3
ANGLIAN - CENTRAL,609577,NBNSYS0100049233,2
ANGLIAN - CENTRAL,609577,NBNSYS0100049239,5
ANGLIAN - CENTRAL,609577,NBNSYS0100049331,1
ANGLIAN - CENTRAL,609577,NBNSYS0100049353,20
ANGLIAN - CENTRAL,609577,NHMSYS0020749177,1
ANGLIAN - CENTRAL,609577,NBNSYS0100049402,5
ANGLIAN - CENTRAL,609577,NBNSYS0100049408,1
ANGLIAN - CENTRAL,609577,NBNSYS0100049428,1
